"","x"
"1207","KLHDC2"
"1208","DFFA"
"1209","NOLC1"
"1210","AMDHD2"
"1211","MCRS1"
"1212","SCHIP1"
"1213","TMEM189"
"1214","RNF220"
"1215","PXN"
"1216","SIPA1L1"
"1217","NEIL2"
"1218","AKT2"
"1219","ZNF540"
"1220","GORASP2"
"1221","DCAF13"
"1222","NAA60"
"1223","COA5"
"1224","TP53BP2"
"1225","NR1H2"
"1226","ENTPD5"
"1227","SLC39A9"
"1228","MRPS18B"
"1229","LASP1"
"1230","TTYH2"
"1231","NAA30"
"1232","VPS53"
"1233","EXOC4"
"1234","B4GALT7"
"1235","FBXW11"
"1236","ZCCHC12"
"1237","SPTSSA"
"1238","RAB3GAP2"
"1239","SCAP"
"1240","BCKDK"
"1241","PTPN9"
"1242","TRAPPC3"
"1243","VAMP3"
"1244","CAV1"
"1245","PSMB5"
"1246","IL27RA"
"1247","WBP2"
"1248","PPP2CA"
"1249","FKBP9"
"1250","NUDCD3"
"1251","TRIP10"
"1252","SHARPIN"
"1253","WASF2"
"1254","IFRD2"
"1255","TNFSF12"
"1256","CCT6A"
"1257","INTS10"
"1258","FAM3A"
"1259","WDR46"
"1260","FKBP2"
"1261","GALK1"
"1262","CPEB1"
"1263","DNAJB6"
"1264","CTNNBL1"
"1265","PLOD1"
"1266","DHRS4L2"
"1267","ARL6IP5"
"1268","HSD17B14"
"1269","ENO2"
"1270","HINT3"
"1271","TLE4"
"1272","TPM3"
"1273","BTN3A3"
"1274","SPRYD3"
"1275","CD274"
"1276","ATP13A1"
"1277","OSMR"
"1278","WDR18"
"1279","YWHAE"
"1280","PFKFB3"
"1281","SCYL1"
"1282","TSNAX"
"1283","SLC25A39"
"1284","STX7"
"1285","OXCT1"
"1286","RDX"
"1287","PPP1R1C"
"1288","DTNA"
"1289","VDAC3"
"1290","EZH1"
"1291","ITFG1"
"1292","PLBD2"
"1293","LTBP1"
"1294","SYNM"
"1295","CHN1"
"1296","RNF11"
"1297","MRAS"
"1298","MPG"
"1299","IRAK1"
"1300","ERCC2"
"1301","IFNGR2"
"1302","GLIPR1"
"1303","FAF1"
"1304","TMED5"
"1305","ATP5SL"
"1306","PPP1R13B"
"1307","NPTN"
"1308","APH1A"
"1309","CCDC159"
"1310","GAS7"
"1311","VAPA"
"1312","QTRT1"
"1313","ARL2"
"1314","TXNDC11"
"1315","PRMT6"
"1316","SLC35F5"
"1317","FBXW9"
"1318","EXOC3"
"1319","FOXRED2"
"1320","CBFB"
"1321","SLC15A2"
"1322","ARPC4"
"1323","CES2"
"1324","TBX15"
"1325","MEX3C"
"1326","ZDHHC2"
"1327","TJP1"
"1328","PSMD4"
"1329","EIF4E"
"1330","UBAC1"
"1331","MTM1"
"1332","LGMN"
"1333","RHEB"
"1334","ZNF267"
"1335","ACADM"
"1336","RELA"
"1337","NDEL1"
"1338","YWHAQ"
"1339","CRIM1"
"1340","TMEM222"
"1341","DCAF12"
"1342","DNAJA3"
"1343","TMED4"
"1344","MOSPD2"
"1345","TPM4"
"1346","FAM32A"
"1347","ARFGAP2"
"1348","TMEM205"
"1349","PAFAH1B2"
"1350","CCDC106"
"1351","EBP"
"1352","SSPN"
"1353","C6orf120"
"1354","ACTR3"
"1355","SFXN3"
"1356","PPT1"
"1357","MORF4L2"
"1358","PAQR8"
"1359","ABI2"
"1360","TOM1L2"
"1361","PCM1"
"1362","SDCBP"
"1363","NANS"
"1364","UBE2W"
"1365","UROD"
"1366","SMYD5"
"1367","PTN"
"1368","ATF6"
"1369","UCKL1"
"1370","PDK2"
"1371","NOP2"
"1372","ICAM1"
"1373","SPIN3"
"1374","IKBKB"
"1375","RCAN1"
