"","correlation","pvalue","tumor","stage","process"
"vesicle targeting31","-0.261904761904762","0.530922861565801","COAD","IIIA","vesicle targeting"
"vesicle docking31","0.19047619047619","0.651401495702482","COAD","IIIA","vesicle docking"
"clathrin coated vesicle31","0.285714285714286","0.492726245016957","COAD","IIIA","clathrin coated vesicle"
"copi coated vesicle31","-0.0476190476190476","0.910849168519584","COAD","IIIA","copi coated vesicle"
"vesicle tethering31","-0.19047619047619","0.651401495702482","COAD","IIIA","vesicle tethering"
"intercellular transport31","-0.142857142857143","0.735764859879812","COAD","IIIA","intercellular transport"
"regulation of vesicle fusion31","0.547619047619048","0.160025642538896","COAD","IIIA","regulation of vesicle fusion"
"coated vesicle41","-0.169057665260197","0.13384437424958","COAD","I","coated vesicle"
"endocytic vesicle41","-0.0480309423347398","0.672233362525407","COAD","I","endocytic vesicle"
"phagocytic vesicle41","-0.0177918424753868","0.875526293296281","COAD","I","phagocytic vesicle"
"secretory vesicle41","-0.0977262072198781","0.388467594363444","COAD","I","secretory vesicle"
"vesicle cytoskeletal trafficking41","-0.0111579934364744","0.921747710576608","COAD","I","vesicle cytoskeletal trafficking"
"exocytosis41","-0.0409048288795124","0.718655256222723","COAD","I","exocytosis"
"endocytosis41","0.0036333802156587","0.974482762191139","COAD","I","endocytosis"
"secretion41","-0.0968354430379747","0.392827079889135","COAD","I","secretion"
"intracellular transport41","0.029606188466948","0.79432750344458","COAD","I","intracellular transport"
"intracellular protein transport41","0.0189170182841069","0.867723438887723","COAD","I","intracellular protein transport"
"transport along microtubule41","0.159001406469761","0.158909435286272","COAD","I","transport along microtubule"
"vesicle lumen41","-0.155227379278012","0.169164194441444","COAD","I","vesicle lumen"
"vesicle membrane41","-0.0944444444444444","0.404671749328877","COAD","I","vesicle membrane"
"vesicle organization41","-0.0540084388185654","0.634209077873238","COAD","I","vesicle organization"
"vesicle targeting41","-0.135091420534459","0.232179432796644","COAD","I","vesicle targeting"
"vesicle docking41","0.0211439287388654","0.852318186106943","COAD","I","vesicle docking"
"clathrin coated vesicle41","-0.116104078762307","0.305082064892571","COAD","I","clathrin coated vesicle"
"copi coated vesicle41","-0.181551804969526","0.107023607774329","COAD","I","copi coated vesicle"
"vesicle tethering41","0.263830285982185","0.018045048068994","COAD","I","vesicle tethering"
"intercellular transport41","-0.29549929676512","0.00778771641611931","COAD","I","intercellular transport"
"regulation of vesicle fusion41","0.0293483356774496","0.79607985474839","COAD","I","regulation of vesicle fusion"
"coated vesicle51","0.181554677206851","0.232640697947213","COAD","IIIC","coated vesicle"
"endocytic vesicle51","0.271146245059289","0.0716023390296907","COAD","IIIC","endocytic vesicle"
"phagocytic vesicle51","0.263372859025033","0.0804551047688267","COAD","IIIC","phagocytic vesicle"
"secretory vesicle51","0.140447957839262","0.357461142948895","COAD","IIIC","secretory vesicle"
"vesicle cytoskeletal trafficking51","0.171936758893281","0.258743653538957","COAD","IIIC","vesicle cytoskeletal trafficking"
"exocytosis51","0.276811594202899","0.0656495957534096","COAD","IIIC","exocytosis"
"endocytosis51","0.266139657444005","0.0772108012745449","COAD","IIIC","endocytosis"
"secretion51","0.233333333333333","0.122932393848857","COAD","IIIC","secretion"
"intracellular transport51","0.0176548089591568","0.908359326966421","COAD","IIIC","intracellular transport"
"intracellular protein transport51","-0.0508563899868248","0.740063187361348","COAD","IIIC","intracellular protein transport"
"transport along microtubule51","0.299472990777339","0.0456599514911054","COAD","IIIC","transport along microtubule"
"vesicle lumen51","-0.0130434782608696","0.932229876294361","COAD","IIIC","vesicle lumen"
"vesicle membrane51","0.245981554677207","0.103356231427864","COAD","IIIC","vesicle membrane"
"vesicle organization51","0.231225296442688","0.126449911091749","COAD","IIIC","vesicle organization"
"vesicle targeting51","0.0142292490118577","0.926085276963639","COAD","IIIC","vesicle targeting"
"vesicle docking51","0.246640316205534","0.102406370548171","COAD","IIIC","vesicle docking"
"clathrin coated vesicle51","0.214229249011858","0.157620347825358","COAD","IIIC","clathrin coated vesicle"
"copi coated vesicle51","-0.109090909090909","0.475632761608383","COAD","IIIC","copi coated vesicle"
"vesicle tethering51","0.250197628458498","0.0973924360806209","COAD","IIIC","vesicle tethering"
"intercellular transport51","0.106192358366271","0.487505960442708","COAD","IIIC","intercellular transport"
"regulation of vesicle fusion51","0.15862977602108","0.297975604678433","COAD","IIIC","regulation of vesicle fusion"
"coated vesicle61","0.37593984962406","0.102349046010685","COAD","III","coated vesicle"
"endocytic vesicle61","0.240601503759398","0.306861091678276","COAD","III","endocytic vesicle"
"phagocytic vesicle61","0.312781954887218","0.179363530527591","COAD","III","phagocytic vesicle"
"secretory vesicle61","0.321804511278195","0.166474348578758","COAD","III","secretory vesicle"
"vesicle cytoskeletal trafficking61","0.105263157894737","0.658727769391581","COAD","III","vesicle cytoskeletal trafficking"
"exocytosis61","0.180451127819549","0.446464610270549","COAD","III","exocytosis"
"endocytosis61","0.305263157894737","0.190609387396323","COAD","III","endocytosis"
"secretion61","0.296240601503759","0.204718297428621","COAD","III","secretion"
"intracellular transport61","0.371428571428571","0.106870706965928","COAD","III","intracellular transport"
"intracellular protein transport61","0.377443609022556","0.100873191187105","COAD","III","intracellular protein transport"
"transport along microtubule61","0.403007518796992","0.0780934664515645","COAD","III","transport along microtubule"
"vesicle lumen61","0.138345864661654","0.560787373287413","COAD","III","vesicle lumen"
"vesicle membrane61","0.318796992481203","0.170697872140024","COAD","III","vesicle membrane"
"vesicle organization61","0.35187969924812","0.128141952087041","COAD","III","vesicle organization"
"vesicle targeting61","0.344360902255639","0.137072581504344","COAD","III","vesicle targeting"
"vesicle docking61","0.168421052631579","0.477828675796431","COAD","III","vesicle docking"
"clathrin coated vesicle61","0.374436090225564","0.103840529522461","COAD","III","clathrin coated vesicle"
"copi coated vesicle61","0.117293233082707","0.622378981763022","COAD","III","copi coated vesicle"
"vesicle tethering61","0.24812030075188","0.291522687103458","COAD","III","vesicle tethering"
"intercellular transport61","-0.0902255639097744","0.705213030860713","COAD","III","intercellular transport"
"regulation of vesicle fusion61","0.287218045112782","0.219504313462702","COAD","III","regulation of vesicle fusion"
"coated vesicle71","0.188811188811189","0.556737056176831","COAD","IIB","coated vesicle"
"endocytic vesicle71","0.125874125874126","0.696683109395766","COAD","IIB","endocytic vesicle"
"phagocytic vesicle71","0.41958041958042","0.174519008130059","COAD","IIB","phagocytic vesicle"
"secretory vesicle71","0.020979020979021","0.948402225236522","COAD","IIB","secretory vesicle"
"vesicle cytoskeletal trafficking71","-0.048951048951049","0.879918578878675","COAD","IIB","vesicle cytoskeletal trafficking"
"exocytosis71","0.0909090909090909","0.778725396245442","COAD","IIB","exocytosis"
"endocytosis71","0.041958041958042","0.896985870819554","COAD","IIB","endocytosis"
"secretion71","-0.125874125874126","0.696683109395766","COAD","IIB","secretion"
"intracellular transport71","0.118881118881119","0.712884219214772","COAD","IIB","intracellular transport"
"intracellular protein transport71","0.0909090909090909","0.778725396245442","COAD","IIB","intracellular protein transport"
"transport along microtubule71","-0.111888111888112","0.729194990751066","COAD","IIB","transport along microtubule"
"vesicle lumen71","0.111888111888112","0.729194990751066","COAD","IIB","vesicle lumen"
"vesicle membrane71","0.0979020979020979","0.762121655996299","COAD","IIB","vesicle membrane"
"vesicle organization71","-0.13986013986014","0.664633161792668","COAD","IIB","vesicle organization"
"vesicle targeting71","-0.0559440559440559","0.862898073694971","COAD","IIB","vesicle targeting"
"vesicle docking71","-0.195804195804196","0.541935885731317","COAD","IIB","vesicle docking"
"clathrin coated vesicle71","0.0559440559440559","0.862898073694971","COAD","IIB","clathrin coated vesicle"
"copi coated vesicle71","0.328671328671329","0.296904115688764","COAD","IIB","copi coated vesicle"
"vesicle tethering71","0.398601398601399","0.199335494617809","COAD","IIB","vesicle tethering"
"intercellular transport71","0.020979020979021","0.948402225236522","COAD","IIB","intercellular transport"
"regulation of vesicle fusion71","-0.202797202797203","0.527302354166108","COAD","IIB","regulation of vesicle fusion"
"coated vesicle81","-0.10789766407119","0.57035463258956","COAD","II","coated vesicle"
"endocytic vesicle81","0.0696329254727475","0.714638585678457","COAD","II","endocytic vesicle"
"phagocytic vesicle81","0.132369299221357","0.485623055925227","COAD","II","phagocytic vesicle"
"secretory vesicle81","0.0825361512791991","0.664578114151163","COAD","II","secretory vesicle"
"vesicle cytoskeletal trafficking81","-0.116351501668521","0.540346175533803","COAD","II","vesicle cytoskeletal trafficking"
"exocytosis81","0.156395995550612","0.409193436571448","COAD","II","exocytosis"
"endocytosis81","0.212458286985539","0.259673627613016","COAD","II","endocytosis"
"secretion81","0.0242491657397108","0.898787679598603","COAD","II","secretion"
"intracellular transport81","-0.0229143492769744","0.904332946871975","COAD","II","intracellular transport"
"intracellular protein transport81","0.0197997775305895","0.917288629729269","COAD","II","intracellular protein transport"
"transport along microtubule81","-0.0184649610678532","0.922847620769376","COAD","II","transport along microtubule"
"vesicle lumen81","0.100333704115684","0.597823205769544","COAD","II","vesicle lumen"
"vesicle membrane81","0.0949944382647386","0.617547591917465","COAD","II","vesicle membrane"
"vesicle organization81","-0.0651835372636262","0.732186353113564","COAD","II","vesicle organization"
"vesicle targeting81","0.00467185761957731","0.980452519205199","COAD","II","vesicle targeting"
"vesicle docking81","0.0905450500556173","0.634186911747519","COAD","II","vesicle docking"
"clathrin coated vesicle81","0.0171301446051168","0.928410176528399","COAD","II","clathrin coated vesicle"
"copi coated vesicle81","-0.0100111234705228","0.958126766150326","COAD","II","copi coated vesicle"
"vesicle tethering81","0.102113459399333","0.59130910211357","COAD","II","vesicle tethering"
"intercellular transport81","-0.104783092324805","0.581596253766823","COAD","II","intercellular transport"
"regulation of vesicle fusion81","0.238709677419355","0.20395266872419","COAD","II","regulation of vesicle fusion"
"coated vesicle91","0.235294117647059","0.363295114375383","COAD","IVA","coated vesicle"
"endocytic vesicle91","0.0269607843137255","0.918190900918974","COAD","IVA","endocytic vesicle"
"phagocytic vesicle91","-0.0367647058823529","0.888592867568345","COAD","IVA","phagocytic vesicle"
"secretory vesicle91","-0.017156862745098","0.947890881823222","COAD","IVA","secretory vesicle"
"vesicle cytoskeletal trafficking91","0.321078431372549","0.208898183250939","COAD","IVA","vesicle cytoskeletal trafficking"
"exocytosis91","0.100490196078431","0.701166768751069","COAD","IVA","exocytosis"
"endocytosis91","0.115196078431373","0.659750043107423","COAD","IVA","endocytosis"
"secretion91","0.0980392156862745","0.708151309718605","COAD","IVA","secretion"
"intracellular transport91","0.245098039215686","0.343046653099585","COAD","IVA","intracellular transport"
"intracellular protein transport91","0.237745098039216","0.358171399916303","COAD","IVA","intracellular protein transport"
"transport along microtubule91","0.46078431372549","0.0626776221113285","COAD","IVA","transport along microtubule"
"vesicle lumen91","-0.0514705882352941","0.844466903040607","COAD","IVA","vesicle lumen"
"vesicle membrane91","0.017156862745098","0.947890881823222","COAD","IVA","vesicle membrane"
"vesicle organization91","0.0147058823529412","0.955327485542882","COAD","IVA","vesicle organization"
"vesicle targeting91","0.107843137254902","0.680350418048162","COAD","IVA","vesicle targeting"
"vesicle docking91","0.117647058823529","0.652933439953992","COAD","IVA","vesicle docking"
"clathrin coated vesicle91","0.0416666666666667","0.873843532782525","COAD","IVA","clathrin coated vesicle"
"copi coated vesicle91","0.33578431372549","0.187614117874796","COAD","IVA","copi coated vesicle"
"vesicle tethering91","0.186274509803922","0.474095139944087","COAD","IVA","vesicle tethering"
"intercellular transport91","-0.0931372549019608","0.722186091025371","COAD","IVA","intercellular transport"
"regulation of vesicle fusion91","-0.0563725490196078","0.829848583535362","COAD","IVA","regulation of vesicle fusion"
"coated vesicle13","0.683823529411765","0.00247028949220907","READ","IV","coated vesicle"
"endocytic vesicle13","0.691176470588235","0.00212111925819114","READ","IV","endocytic vesicle"
"phagocytic vesicle13","0.629901960784314","0.00672792962173485","READ","IV","phagocytic vesicle"
"secretory vesicle13","0.53921568627451","0.0255036803158819","READ","IV","secretory vesicle"
"vesicle cytoskeletal trafficking13","0.617647058823529","0.00824232891210208","READ","IV","vesicle cytoskeletal trafficking"
"exocytosis13","0.558823529411765","0.0197085659158018","READ","IV","exocytosis"
"endocytosis13","0.742647058823529","0.000638246691161193","READ","IV","endocytosis"
"secretion13","0.669117647058823","0.00330981324288437","READ","IV","secretion"
"intracellular transport13","0.620098039215686","0.00791952057076273","READ","IV","intracellular transport"
"intracellular protein transport13","0.424019607843137","0.0898416849718557","READ","IV","intracellular protein transport"
"transport along microtubule13","0.649509803921569","0.00477608566555698","READ","IV","transport along microtubule"
"vesicle lumen13","0.28921568627451","0.260203249066505","READ","IV","vesicle lumen"
